2_ID_FINAL;4_SEQUENCIAL;5_INCRICAO_IMOVEL_UNIDADE;7_GEOCODING;46_ENDERECO;47_BAIRRO;44_Y_UTM;45_X_UTM;22_AREA_TERRE;23_AREA_TERRENO_LOTE_CARTOG;28_PROFUNDIDA;29_TESTADA;15_TIPO_CONSTRUCAO;24_AREA_CONST_UNIDADE;25_AREA_TOTAL_CONSTR;27_QTD_PAV;30_PADRAO_CONST;31_ESTADO_CONSERV;32_IDADE;34_SITUACAO_QUADRA;36_TIPO_VIA;39_ILUM_PUBLI;41_PAVIMENTAC;43_GUIAS_SARJ;56_COD_SETOR_CENSITARIO;57_V002_;58_V005_;59_V007_;13_NAT_EVENTO;16_DATA_AVALI_VENC;16_2_PERIO_AV;17_VALAVALIAÇÃO;18_VALOPERAÇÃO
7432;14506130;1.3105.121.04.0349.0004.3;131051210349;RUA ANTONIO FERREIRA CAMPOS, 4345 AP 201 ,CANDEIAS;CANDEIAS;9093866,28529347;288265,136868975;741;750,644654701;29,8793228511705;25,1225457297;APARTAMENTO;123,75;1079,75;4;4;2;25;2;1;2;2;2;260790105000317;784;2562,76;2827,08;2 - ESTIMATIVA ITBI;27/07/2020;2 - DE 01/03/2020 ATE 31/07/2020;265500;240000
6397;10059970;1.3105.125.02.0250.0001.8;131051250250;RUA JOSﾉ NUNES DA CUNHA, 4490 ,CANDEIAS;CANDEIAS;9093833,56367689;288462,751522538;390;406,55450683;27,5107709659498;14,77801212235;APARTAMENTO;251,62;251,62;2;4;2;12;2;1;2;2;2;260790105000316;832;5055,03;5292,92;2 - ESTIMATIVA ITBI;07/08/2020;3 - A PARTIR DE 01/08/2020;650000;650000
6596;10105948;1.3105.137.01.0109.0001.8;131051370109;RUA JANGADEIRO, 179 LJ 001 ,CANDEIAS;CANDEIAS;9093809,19273748;288372,77769097;425,6;360,433934579;9,18034683486444;39,2614724762;APARTAMENTO;242,28;242,28;2;6;2;30;1;1;2;2;2;260790105000184;714;4004,13;4128,7;2 - ESTIMATIVA ITBI;23/03/2020;2 - DE 01/03/2020 ATE 31/07/2020;1606285,81;785000
6186;10107053;1.3105.145.02.0199.0006.2;131051450199;AVENIDA ULISSES MONTARROYOS, 4562 AP 302 ,CANDEIAS;CANDEIAS;9093697,6188808;288059,266116079;324;343,794532664;27,1506672007816;12,6624708749;APARTAMENTO;114,15;684,9;3;4;2;30;2;2;2;2;2;260790105000242;896;2127,03;2451,89;2 - ESTIMATIVA ITBI;20/08/2020;3 - A PARTIR DE 01/08/2020;180000;170000
6183;10107207;1.3105.145.04.0432.0003.9;131051450432;RUA HERMANO DE BARROS E SILVA, 4569 CP 201 ,CANDEIAS;CANDEIAS;9093797,72861021;288029,264910967;319,2;307,113626979;25,6715719600728;11,9631796392;APARTAMENTO;61,92;479;4;4;2;30;1;1;2;1;1;260790105000242;896;2127,03;2451,89;2 - ESTIMATIVA ITBI;20/08/2020;3 - A PARTIR DE 01/08/2020;90600;90000
2110;14483424;1.3105.161.01.0146.0000.0;131051610146;RUA JANGADEIRO, 921 AP 203 BL. B ;CANDEIAS;9093798,30209;287633,986242;2677,55;2911,9856774321;69,6336992551329;41,8186267365;APARTAMENTO;47,84;3911,6;4;3;3;25;2;1;2;2;2;260790105000187;544;809,23;1034,94;2 - ESTIMATIVA ITBI;11/03/2020;2 - DE 01/03/2020 ATE 31/07/2020;80000;70000
9787;10164596;1.3105.225.02.0404.0068.9;131052250404;RUA JOﾃO FRAGOSO DE MEDEIROS, 1851A AP 004 BL. B29 ,CANDEIAS;CANDEIAS;9093517,78360485;286695,103309648;6438;5683,07622832;46,6631235482825;121,78945163068;APARTAMENTO;71,54;6867,84;4;3;3;36;1;1;2;2;2;260790105000231;734;750,23;870,87;2 - ESTIMATIVA ITBI;12/08/2020;3 - A PARTIR DE 01/08/2020;105000;105000
9788;10164669;1.3105.225.02.0404.0075.1;131052250404;RUA JOﾃO FRAGOSO DE MEDEIROS, 1851A AP 203 BL. B29 ,CANDEIAS;CANDEIAS;9093517,78360485;286695,103309648;6438;5683,07622832;46,6631235482825;121,78945163068;APARTAMENTO;71,54;6867,84;4;3;3;36;1;1;2;2;2;260790105000231;734;750,23;870,87;2 - ESTIMATIVA ITBI;01/09/2020;3 - A PARTIR DE 01/08/2020;110000;110000
10069;10163859;1.3105.227.02.0418.0154.0;131052270418;RUA JOﾃO FRAGOSO DE MEDEIROS, 1775 AP 202 BL. B24 ,CANDEIAS;CANDEIAS;9093548,72307357;286769,14921245;8687;9680,67697367;149,078515622747;64,9367679389;APARTAMENTO;71,54;11446,4;4;3;3;36;1;1;2;2;2;260790105000385;525;1076,55;1201,57;2 - ESTIMATIVA ITBI;12/08/2020;3 - A PARTIR DE 01/08/2020;88200;85000
10147;14068931;1.3105.231.02.0454.0095.4;131052310454;RUA JOﾃO FRAGOSO DE MEDEIROS, 1623 AP 303 BL. A26 ,CANDEIAS;CANDEIAS;9093545,83850152;286920,278848297;9828;10384,3669123;157,471012138792;65,9446254346;APARTAMENTO;81,7;14711,04;4;3;3;36;1;1;2;2;2;260790105000232;800;1258,03;1345,33;2 - ESTIMATIVA ITBI;31/07/2020;2 - DE 01/03/2020 ATE 31/07/2020;100000;50000
